"product_id","product_name","price","category_id","category_name","class","resistant","is_alergant","vitality_days","modify_date"
1,Flour - Whole Wheat,74.2988,3,Cereals,Medium,Durable,Unknown,0,2018-02-16 08:21:49.190
2,Cookie Chocolate Chip With,91.2329,3,Cereals,Medium,Unknown,Unknown,0,2017-02-12 11:39:10.970
3,Onions - Cippolini,9.1379,9,Poultry,Medium,Weak,False,111,2018-03-15 08:11:51.560
4,"Sauce - Gravy, Au Jus, Mix",54.3055,9,Poultry,Medium,Durable,Unknown,0,2017-07-16 00:46:28.880
5,Artichokes - Jerusalem,65.4771,2,Shell fish,Low,Durable,True,27,2017-08-16 14:13:35.430
6,Wine - Magnotta - Cab Sauv,79.7184,8,Grain,High,Unknown,Unknown,0,2017-05-25 15:08:39.690
7,Table Cloth - 53x69 Colour,31.8370,9,Poultry,Medium,Durable,False,0,2017-02-24 15:14:30.050
8,Halibut - Steaks,89.8573,5,Beverages,Medium,Unknown,True,108,2018-03-24 05:21:21.890
9,Rabbit - Whole,84.4219,11,Produce,Medium,Durable,Unknown,0,2017-06-17 12:12:04.670
10,Scampi Tail,95.0957,4,Dairy,Low,Weak,True,105,2017-07-30 10:11:45.990
11,Garbage Bags - Clear,6.2949,9,Poultry,Low,Durable,True,67,2017-01-05 21:02:21.330
12,Ezy Change Mophandle,49.3356,4,Dairy,Medium,Durable,True,0,2017-11-01 09:49:59.030
13,"Water, Tap",28.2232,11,Produce,Low,Durable,False,69,2017-01-16 19:49:10.930
14,Beef - Top Sirloin,3.3324,7,Meat,Medium,Durable,True,0,2017-02-26 11:40:47.850
15,"Spoon - Soup, Plastic",32.4420,1,Confections,Low,Weak,True,0,2017-03-03 09:47:09.310
16,Kellogs Special K Cereal,54.7246,2,Shell fish,Low,Durable,True,0,2017-01-23 09:25:47.110
17,"Wine - White, Mosel Gold",43.9182,10,Snails,Medium,Unknown,Unknown,0,2017-03-01 14:03:04.920
18,"Lamb - Whole, Fresh",23.3966,10,Snails,Medium,Unknown,False,0,2017-12-19 16:45:04.730
19,Tea - Earl Grey,22.5614,3,Cereals,Medium,Weak,True,94,2017-06-14 22:39:53.340
20,Chocolate - Feathers,85.9011,3,Cereals,Low,Durable,True,0,2017-07-21 11:13:57.550
21,Kiwi,46.7252,7,Meat,High,Durable,Unknown,0,2018-05-09 08:59:46.150
22,Rice - Jasmine Sented,27.8955,6,Seafood,Medium,Weak,Unknown,48,2017-05-09 14:08:23.630
23,Crab - Imitation Flakes,79.0184,11,Produce,Medium,Durable,True,0,2017-08-19 07:18:29.890
24,"Beer - Alexander Kieths, Pale Ale",89.0370,3,Cereals,Medium,Durable,True,65,2017-05-23 03:36:02.420
25,Soupcontfoam16oz 116con,80.7666,10,Snails,High,Durable,True,0,2017-04-09 15:30:41.250
26,Squid U5 - Thailand,33.7821,11,Produce,Medium,Weak,False,10,2018-03-26 19:31:26.970
27,Chocolate - Compound Coating,17.1724,1,Confections,Medium,Unknown,Unknown,86,2017-10-29 17:27:27.280
28,Sobe - Tropical Energy,12.3153,9,Poultry,High,Durable,True,0,2017-10-25 04:23:48.230
29,Spinach - Baby,33.5883,7,Meat,Low,Durable,True,50,2017-08-06 17:21:24.000
30,"Cheese - Brie, Triple Creme",67.8990,6,Seafood,Low,Weak,Unknown,72,2018-03-21 19:28:46.740
31,Yeast Dry - Fermipan,73.9851,2,Shell fish,Medium,Durable,False,0,2017-04-17 23:33:06.110
32,Lettuce - Treviso,96.4127,3,Cereals,High,Durable,True,0,2017-01-09 18:29:05.790
33,Beans - Wax,45.5551,10,Snails,Medium,Weak,True,0,2017-02-01 15:20:22.860
34,Mustard Prepared,43.3463,6,Seafood,Medium,Weak,Unknown,7,2017-09-21 16:05:20.820
35,"Water - Mineral, Natural",15.7233,6,Seafood,Low,Durable,True,97,2017-10-01 15:36:07.080
36,Table Cloth 54x72 White,69.2574,9,Poultry,Low,Durable,True,0,2018-03-04 18:24:57.500
37,"Nut - Pistachio, Shelled",80.3171,7,Meat,Low,Unknown,False,0,2017-02-27 14:01:39.130
38,Sage - Ground,81.6579,6,Seafood,High,Weak,False,0,2017-09-26 00:45:35.600
39,Dried Figs,75.2059,11,Produce,Medium,Weak,False,120,2017-08-04 21:51:44.260
40,Cocktail Napkin Blue,8.9372,8,Grain,Low,Unknown,Unknown,0,2017-06-28 03:05:34.400
41,"Cup - 6oz, Foam",81.7210,7,Meat,Medium,Unknown,True,0,2018-03-15 16:02:55.860
42,Bread - Raisin Walnut Oval,81.0488,1,Confections,High,Weak,False,0,2018-04-01 08:39:17.290
43,Sponge Cake Mix - Chocolate,16.3983,9,Poultry,High,Weak,True,96,2017-08-12 13:40:16.800
44,"Wine - White, Colubia Cresh",48.5981,7,Meat,High,Durable,True,0,2018-04-09 16:28:48.450
45,Beef - Ground Medium,79.5324,4,Dairy,Medium,Weak,True,0,2018-03-23 17:00:00.370
46,Lambcasing,86.7915,9,Poultry,High,Durable,False,0,2017-07-12 21:27:57.760
47,"Thyme - Lemon, Fresh",47.1339,9,Poultry,High,Weak,False,0,2018-02-16 02:50:46.780
48,Pecan Raisin - Tarts,60.3625,7,Meat,Low,Unknown,Unknown,114,2017-11-26 03:31:03.240
49,Bacardi Breezer - Tropical,61.4317,8,Grain,High,Durable,False,0,2017-01-03 12:21:41.850
50,Pork - Kidney,43.2864,7,Meat,High,Weak,True,0,2018-04-21 00:02:16.210
51,Wine - Crozes Hermitage E.,81.0134,11,Produce,Medium,Unknown,Unknown,0,2017-05-16 18:38:05.230
52,"Turnip - White, Organic",55.6059,1,Confections,Low,Durable,False,0,2017-06-27 06:39:03.810
53,Cassis,92.6279,8,Grain,Medium,Weak,True,0,2018-02-16 15:42:44.950
54,"Liners - Banana, Paper",53.5592,9,Poultry,Medium,Weak,True,0,2017-06-23 03:31:04.500
55,Cinnamon Buns Sticky,6.6182,3,Cereals,High,Unknown,False,85,2018-03-05 08:20:42.050
56,Chips Potato Salt Vinegar 43g,46.4033,9,Poultry,Low,Weak,False,0,2017-10-10 18:13:25.560
57,Sausage - Breakfast,12.2145,3,Cereals,Low,Unknown,True,103,2017-11-03 04:20:41.080
58,Dc Hikiage Hira Huba,20.1009,7,Meat,Low,Durable,Unknown,91,2017-10-24 04:35:49.140
59,Pastry - Butterscotch Baked,73.5389,10,Snails,High,Unknown,False,0,2017-04-08 09:15:47.620
60,"Pepper - Paprika, Hungarian",31.6949,2,Shell fish,Medium,Weak,Unknown,0,2017-09-29 18:42:08.470
61,Sardines,62.5460,8,Grain,Low,Durable,False,90,2017-12-03 21:41:12.420
62,Pears - Bosc,19.5217,1,Confections,Medium,Unknown,Unknown,13,2017-09-09 10:50:41.830
63,Cake - Mini Cheesecake,56.2689,9,Poultry,Low,Weak,Unknown,0,2017-08-18 11:59:57.890
64,Vinegar - Sherry,16.5229,6,Seafood,Low,Unknown,True,94,2017-08-05 16:43:17.930
65,Brandy - Bar,21.1106,3,Cereals,High,Weak,False,0,2017-04-14 10:38:39.870
66,Pie Filling - Cherry,9.8823,7,Meat,Medium,Weak,False,0,2018-05-06 02:33:15.540
67,Wine - Sogrape Mateus Rose,3.7805,5,Beverages,Low,Unknown,True,108,2017-09-30 18:29:36.160
68,"Beets - Candy Cane, Organic",84.8769,6,Seafood,High,Durable,False,72,2017-09-04 03:43:50.120
69,Raspberries - Fresh,87.6092,1,Confections,Low,Unknown,True,0,2017-10-04 20:04:40.780
70,Squid - Tubes / Tenticles 10/20,63.1846,4,Dairy,Low,Weak,True,45,2017-05-08 15:22:11.810
71,Cheese - Wine,74.4076,6,Seafood,Low,Durable,Unknown,0,2018-04-04 19:24:07.990
72,Bar - Granola Trail Mix Fruit Nut,62.2603,4,Dairy,High,Durable,False,0,2017-10-13 13:17:29.330
73,Appetizer - Sausage Rolls,48.1907,11,Produce,Low,Weak,True,0,2017-05-17 18:53:20.470
74,Carbonated Water - Cherry,13.6241,7,Meat,Medium,Durable,False,26,2018-04-26 19:34:18.940
75,Chef Hat 20cm,4.1800,8,Grain,High,Durable,Unknown,116,2017-09-14 19:11:01.690
76,Wine - Fume Blanc Fetzer,65.6765,6,Seafood,Low,Durable,False,95,2017-02-08 00:20:28.860
77,Potatoes - Idaho 100 Count,11.4971,9,Poultry,Medium,Durable,False,0,2018-02-04 00:28:06.840
